DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO. OF  TRADES
14-Jul-2026,EQ,"279.25","280.65","275.00","279.65","275.30","275.55","276.73","427.00","275.00","1,50,18,851","4,15,60,98,836.80","3,19,838"
13-Jul-2026,EQ,"281.35","281.50","279.50","281.75","279.85","279.65","280.20","427.00","275.05","1,25,59,492","3,51,91,71,166.20","2,43,354"
10-Jul-2026,EQ,"282.85","283.65","280.85","282.05","281.80","281.75","281.84","427.00","275.05","1,17,74,274","3,31,84,33,752.00","2,60,527"
09-Jul-2026,EQ,"281.25","284.40","281.00","280.65","281.85","282.05","282.70","427.00","275.05","1,25,12,120","3,53,71,72,547.50","2,61,581"
08-Jul-2026,EQ,"286.90","287.85","280.00","288.75","280.85","280.65","282.88","427.00","275.05","2,15,93,793","6,10,84,81,851.55","3,49,436"
07-Jul-2026,EQ,"288.30","290.70","286.55","288.25","288.00","288.75","288.60","427.00","275.05","1,84,91,160","5,33,64,64,642.05","3,57,922"
06-Jul-2026,EQ,"289.95","290.40","287.60","289.95","289.00","288.25","288.49","427.00","275.05","2,71,26,124","7,82,56,51,952.70","3,07,674"
03-Jul-2026,EQ,"291.30","291.60","289.00","289.90","290.10","289.95","290.39","427.00","275.05","65,17,591","1,89,26,72,377.30","2,32,269"
02-Jul-2026,EQ,"290.70","291.00","287.70","290.30","289.75","289.90","289.63","427.00","275.05","1,27,22,639","3,68,48,75,766.50","2,64,019"
01-Jul-2026,EQ,"287.85","291.00","287.10","286.95","290.05","290.30","289.72","427.00","275.05","65,51,425","1,89,80,83,865.00","2,48,275"
30-Jun-2026,EQ,"291.50","291.60","285.50","290.70","287.30","286.95","287.55","427.00","275.05","1,81,80,676","5,22,79,38,463.70","4,33,044"
29-Jun-2026,EQ,"290.45","291.90","289.35","290.00","291.00","290.70","290.70","427.00","275.05","1,01,10,022","2,93,89,64,571.35","3,49,908"
25-Jun-2026,EQ,"290.35","292.25","289.20","290.35","290.00","290.00","290.66","427.00","275.05","1,12,30,239","3,26,42,29,395.30","2,88,842"
24-Jun-2026,EQ,"290.00","291.40","289.45","290.00","290.20","290.35","290.45","427.00","275.05","62,18,635","1,80,62,05,507.85","2,27,851"
23-Jun-2026,EQ,"291.25","293.15","289.65","291.25","290.10","290.00","290.89","427.00","275.05","94,10,364","2,73,73,68,402.10","2,27,663"
22-Jun-2026,EQ,"292.80","293.95","290.05","292.50","290.75","291.25","291.40","427.00","275.05","99,47,873","2,89,88,14,725.95","2,65,137"
19-Jun-2026,EQ,"289.80","294.55","288.40","291.15","293.90","292.50","290.95","427.00","275.05","1,38,74,008","4,03,66,48,451.40","2,54,060"
18-Jun-2026,EQ,"291.05","291.90","288.00","290.75","290.95","291.15","290.24","427.00","275.05","1,04,09,670","3,02,13,35,692.20","2,36,338"
17-Jun-2026,EQ,"291.95","292.35","290.00","291.65","290.90","290.75","290.87","427.00","275.05","86,26,353","2,50,91,57,701.45","2,42,846"
16-Jun-2026,EQ,"288.15","292.15","287.50","287.90","291.85","291.65","290.72","427.00","275.05","1,44,67,499","4,20,59,46,480.90","3,42,311"
15-Jun-2026,EQ,"287.00","288.85","286.70","285.10","288.15","287.90","287.81","427.00","275.05","1,11,94,950","3,22,20,30,354.40","3,00,143"
12-Jun-2026,EQ,"283.55","285.85","283.00","282.40","285.70","285.10","284.32","428.55","275.05","1,28,93,433","3,66,58,10,862.20","3,71,547"
11-Jun-2026,EQ,"283.00","283.25","281.20","283.65","282.65","282.40","282.30","428.55","275.05","1,26,03,100","3,55,78,22,045.95","2,68,703"
10-Jun-2026,EQ,"280.00","285.85","278.65","280.00","283.30","283.65","283.69","428.55","275.05","1,98,23,743","5,62,38,89,755.20","2,96,092"
09-Jun-2026,EQ,"281.70","281.70","277.15","279.45","280.00","280.00","279.45","428.55","275.05","1,23,02,522","3,43,79,65,851.45","2,53,064"
08-Jun-2026,EQ,"279.00","283.45","276.95","280.70","280.00","279.45","280.73","428.55","275.05","1,57,79,677","4,42,97,82,816.90","2,36,195"
05-Jun-2026,EQ,"280.00","281.40","277.85","280.30","280.95","280.70","279.95","428.55","275.05","1,60,65,822","4,49,76,26,941.70","2,34,148"
04-Jun-2026,EQ,"277.00","280.65","275.05","277.00","280.10","280.30","279.23","428.55","275.05","2,20,17,634","6,14,80,78,901.55","3,20,720"
03-Jun-2026,EQ,"282.35","282.35","275.20","283.25","276.75","277.00","277.04","428.55","275.20","2,80,01,438","7,75,76,11,536.35","4,28,631"
02-Jun-2026,EQ,"279.50","283.60","277.10","279.65","283.40","283.25","280.64","428.55","277.10","2,02,06,131","5,67,05,67,934.70","3,51,434"
01-Jun-2026,EQ,"287.80","288.55","278.30","286.90","279.30","279.65","282.77","428.55","278.30","2,34,77,875","6,63,89,24,445.00","4,38,086"
29-May-2026,EQ,"292.00","292.40","285.90","291.95","287.90","286.90","288.37","444.20","285.90","3,19,30,439","9,20,76,35,381.25","4,30,026"
27-May-2026,EQ,"295.65","296.35","291.05","301.65","292.25","291.95","292.91","444.20","287.00","2,54,46,093","7,45,34,13,035.75","3,82,102"
26-May-2026,EQ,"304.35","304.40","301.10","303.95","301.90","301.65","301.89","444.20","287.00","3,75,60,542","11,33,92,94,994.00","2,55,684"
25-May-2026,EQ,"303.95","305.50","302.35","301.70","304.30","303.95","303.78","444.20","287.00","1,57,34,247","4,77,97,49,001.55","1,27,469"
22-May-2026,EQ,"305.90","307.00","301.00","308.05","302.05","301.70","303.66","444.20","287.00","3,07,51,752","9,33,79,67,818.05","3,39,220"
21-May-2026,EQ,"309.85","311.30","305.80","307.55","307.65","308.05","307.94","444.20","287.00","2,18,68,988","6,73,43,48,842.60","2,30,048"
20-May-2026,EQ,"309.00","309.65","306.20","310.30","307.90","307.55","307.48","444.20","287.00","1,21,27,920","3,72,90,82,939.15","1,92,330"
19-May-2026,EQ,"311.95","314.25","308.35","310.15","310.00","310.30","311.72","444.20","287.00","1,75,19,355","5,46,11,42,698.95","2,53,592"
18-May-2026,EQ,"309.45","312.30","306.50","309.45","310.95","310.15","309.32","444.20","287.00","1,44,22,870","4,46,13,40,381.80","2,97,156"
15-May-2026,EQ,"307.20","312.05","306.30","307.20","309.20","309.45","309.49","444.20","287.00","1,19,54,564","3,69,97,69,024.15","1,85,043"
14-May-2026,EQ,"305.00","309.20","304.85","304.45","307.20","307.20","307.57","444.20","287.00","1,11,13,377","3,41,81,76,560.95","3,14,593"
13-May-2026,EQ,"302.00","305.80","301.05","300.70","304.80","304.45","304.30","444.20","287.00","1,30,24,778","3,96,34,53,936.50","1,88,106"
12-May-2026,EQ,"305.35","306.25","300.10","305.85","300.85","300.70","302.95","444.20","287.00","1,59,68,338","4,83,76,32,219.60","1,77,484"
11-May-2026,EQ,"307.00","308.00","305.15","307.45","305.70","305.85","306.70","444.20","287.00","1,49,68,661","4,59,09,23,998.95","1,58,117"
08-May-2026,EQ,"308.90","308.90","305.70","307.40","307.20","307.45","307.26","444.20","287.00","1,77,39,844","5,45,06,89,616.20","1,56,205"
07-May-2026,EQ,"311.45","311.65","307.00","310.70","307.55","307.40","308.52","444.20","287.00","2,57,18,615","7,93,47,45,387.15","1,80,779"
06-May-2026,EQ,"312.80","313.60","309.25","311.45","310.75","310.70","310.74","444.20","287.00","2,02,87,609","6,30,41,84,013.15","2,52,328"
05-May-2026,EQ,"311.10","313.70","309.65","311.10","310.35","311.45","311.49","444.20","287.00","2,67,95,704","8,34,65,71,651.90","1,74,972"
04-May-2026,EQ,"317.90","317.90","310.50","314.90","311.40","311.10","313.63","444.20","287.00","2,02,45,091","6,34,95,09,910.65","1,75,168"
30-Apr-2026,EQ,"316.25","317.50","313.30","316.25","315.20","314.90","315.35","444.20","287.00","1,15,41,956","3,63,98,10,221.80","1,47,148"
29-Apr-2026,EQ,"305.10","317.50","305.10","304.45","316.00","316.25","313.93","444.20","287.00","3,11,99,038","9,79,43,00,607.15","2,09,945"
28-Apr-2026,EQ,"304.40","305.80","302.55","303.85","304.25","304.45","304.67","444.20","287.00","1,29,07,339","3,93,24,14,488.90","1,06,023"
27-Apr-2026,EQ,"303.65","305.65","302.85","301.60","304.00","303.85","304.12","444.20","287.00","1,43,82,348","4,37,39,75,412.50","1,18,826"
24-Apr-2026,EQ,"306.65","306.65","301.10","305.30","301.45","301.60","303.02","444.20","287.00","1,70,11,704","5,15,49,66,360.80","1,65,949"
23-Apr-2026,EQ,"304.00","306.35","303.25","305.50","305.35","305.30","305.00","444.20","287.00","1,07,01,849","3,26,41,04,449.55","95,400"
22-Apr-2026,EQ,"310.00","310.55","305.10","309.65","305.50","305.50","306.39","444.20","287.00","2,45,00,511","7,50,68,09,236.00","1,65,832"
21-Apr-2026,EQ,"305.00","311.10","304.55","305.00","310.15","309.65","306.96","444.20","287.00","2,44,11,865","7,49,34,98,723.50","1,82,624"
20-Apr-2026,EQ,"307.00","307.95","304.45","306.80","304.90","305.00","306.09","444.20","287.00","1,35,40,471","4,14,45,92,967.80","1,22,052"
17-Apr-2026,EQ,"303.85","309.95","303.85","303.40","307.00","306.80","307.52","444.20","287.00","3,51,11,203","10,79,73,29,192.40","2,49,619"
16-Apr-2026,EQ,"302.95","305.35","301.85","302.05","303.95","303.40","303.23","444.20","287.00","1,65,12,053","5,00,68,84,013.45","1,69,617"
15-Apr-2026,EQ,"300.70","304.00","300.55","298.65","302.20","302.05","302.42","444.20","287.00","1,87,01,403","5,65,56,82,695.80","1,92,295"
13-Apr-2026,EQ,"300.00","301.45","298.10","304.25","298.90","298.65","299.44","444.20","287.00","1,65,22,014","4,94,73,77,826.70","1,80,968"
10-Apr-2026,EQ,"303.00","305.40","302.60","303.00","304.15","304.25","304.07","444.20","287.00","1,77,44,386","5,39,55,29,037.90","1,24,063"
09-Apr-2026,EQ,"301.50","304.40","301.25","302.45","303.00","303.00","303.14","444.20","287.00","1,76,91,477","5,36,30,59,735.75","1,76,075"
08-Apr-2026,EQ,"303.90","304.60","301.55","298.45","302.30","302.45","303.06","444.20","287.00","2,23,10,207","6,76,12,68,279.10","1,80,186"
07-Apr-2026,EQ,"294.15","299.00","292.75","294.85","298.65","298.45","297.09","444.20","287.00","2,69,63,485","8,01,06,71,591.60","2,10,320"
06-Apr-2026,EQ,"293.00","295.35","290.25","292.85","294.80","294.85","292.85","444.20","287.00","1,80,47,063","5,28,51,63,130.80","2,15,231"
02-Apr-2026,EQ,"290.25","293.65","288.40","291.70","292.30","292.85","291.13","444.20","287.00","1,80,82,775","5,26,44,58,303.15","1,97,613"
01-Apr-2026,EQ,"293.00","294.45","290.90","287.70","292.20","291.70","292.47","444.20","287.00","1,86,04,340","5,44,11,67,899.30","1,40,075"
30-Mar-2026,EQ,"293.60","294.45","287.00","294.70","288.50","287.70","290.13","444.20","287.00","2,45,86,921","7,13,34,59,794.75","2,12,496"
27-Mar-2026,EQ,"294.70","296.85","291.55","295.70","294.55","294.70","294.29","444.20","288.75","2,21,79,022","6,52,71,61,794.45","1,81,894"
25-Mar-2026,EQ,"292.70","298.50","292.25","291.25","295.75","295.70","296.42","444.20","288.75","2,61,84,716","7,76,17,78,320.60","1,81,458"
24-Mar-2026,EQ,"295.95","296.00","288.75","290.45","292.30","291.25","290.76","444.20","288.75","3,33,35,721","9,69,28,40,542.60","2,21,679"
23-Mar-2026,EQ,"298.90","299.00","289.55","299.95","290.95","290.45","291.99","444.20","289.55","3,17,88,160","9,28,18,62,168.35","3,79,322"
20-Mar-2026,EQ,"301.05","308.75","298.15","298.00","299.80","299.95","303.30","444.20","297.10","5,86,79,529","17,79,74,84,427.15","3,41,612"
19-Mar-2026,EQ,"301.50","305.50","297.10","304.05","299.10","298.00","299.77","444.20","297.10","1,78,51,126","5,35,12,44,310.05","2,46,450"
18-Mar-2026,EQ,"305.90","306.95","303.50","304.85","304.00","304.05","305.00","444.20","300.65","1,67,02,554","5,09,42,80,816.95","1,38,882"
17-Mar-2026,EQ,"309.95","309.95","304.05","308.25","304.45","304.85","306.07","444.20","300.65","2,56,49,286","7,85,03,94,221.15","2,00,983"
16-Mar-2026,EQ,"302.55","309.45","302.00","301.45","307.45","308.25","305.48","444.20","300.65","3,74,72,204","11,44,70,19,039.80","2,22,548"
13-Mar-2026,EQ,"304.00","306.00","300.65","304.10","301.90","301.45","302.80","444.20","300.65","2,56,59,996","7,76,97,61,466.10","2,45,554"
12-Mar-2026,EQ,"307.05","308.00","302.85","309.00","303.80","304.10","305.89","444.20","302.00","2,33,19,679","7,13,33,63,402.95","2,09,187"
11-Mar-2026,EQ,"309.05","310.65","307.70","309.05","308.90","309.00","309.01","444.20","302.00","1,48,42,485","4,58,65,23,806.05","1,94,139"
10-Mar-2026,EQ,"309.00","310.00","303.75","306.00","309.50","309.05","306.71","444.20","302.00","1,83,52,950","5,62,91,05,639.75","1,56,365"
09-Mar-2026,EQ,"305.00","307.20","303.60","309.70","305.00","306.00","305.17","444.20","302.00","1,40,84,931","4,29,82,50,338.75","1,90,235"
06-Mar-2026,EQ,"310.05","312.30","309.20","311.50","309.95","309.70","310.40","444.20","302.00","2,12,88,269","6,60,78,51,781.95","2,12,819"
05-Mar-2026,EQ,"312.20","313.60","308.20","311.95","311.65","311.50","310.70","444.20","302.00","1,99,38,009","6,19,48,01,511.75","2,06,179"
04-Mar-2026,EQ,"310.60","315.50","310.50","314.90","311.95","311.95","312.43","444.20","302.00","2,41,65,489","7,55,00,27,631.80","2,81,005"
02-Mar-2026,EQ,"307.00","315.75","307.00","313.60","314.70","314.90","313.07","444.20","302.00","2,21,94,311","6,94,83,00,891.05","2,50,280"
27-Feb-2026,EQ,"316.00","317.75","312.65","318.30","314.20","313.60","314.74","444.20","302.00","1,38,92,595","4,37,24,95,896.70","1,88,463"
26-Feb-2026,EQ,"320.00","321.40","317.60","319.75","318.45","318.30","318.98","444.20","302.00","1,12,70,119","3,59,49,34,700.80","1,66,420"
25-Feb-2026,EQ,"325.50","326.60","318.10","323.50","319.20","319.75","321.05","444.20","302.00","1,34,92,101","4,33,16,78,210.95","1,43,953"
24-Feb-2026,EQ,"324.00","325.40","322.05","325.40","324.20","323.50","323.47","444.20","302.00","1,31,35,859","4,24,90,87,939.95","1,70,638"
23-Feb-2026,EQ,"327.00","328.10","324.40","327.00","325.65","325.40","325.58","444.20","302.00","1,34,86,092","4,39,07,80,982.05","1,18,812"
20-Feb-2026,EQ,"325.05","327.85","325.05","326.00","327.20","327.00","326.79","444.20","302.00","1,12,82,027","3,68,68,34,270.95","95,724"
19-Feb-2026,EQ,"334.05","334.25","325.00","332.45","325.80","326.00","329.01","444.20","302.00","1,99,11,747","6,55,10,69,293.75","1,69,746"
18-Feb-2026,EQ,"326.00","332.95","324.80","325.45","332.65","332.45","330.36","444.20","302.00","3,54,73,203","11,71,90,43,134.90","2,28,303"
17-Feb-2026,EQ,"318.45","328.05","318.15","317.95","325.40","325.45","324.94","444.20","302.00","3,93,60,672","12,78,97,37,872.30","2,46,283"
16-Feb-2026,EQ,"313.75","318.25","313.15","313.75","318.10","317.95","316.61","444.20","302.00","1,16,93,763","3,70,23,90,906.10","1,32,407"
13-Feb-2026,EQ,"316.00","318.40","313.25","317.45","313.60","313.75","315.37","444.20","302.00","87,30,618","2,75,33,41,305.65","1,31,785"
12-Feb-2026,EQ,"317.30","320.40","316.90","318.25","317.50","317.45","318.28","444.20","302.00","1,32,94,561","4,23,14,13,265.15","1,55,726"
11-Feb-2026,EQ,"321.95","322.20","316.30","321.40","318.10","318.25","317.45","444.20","302.00","2,48,43,366","7,88,65,24,787.95","1,68,577"
10-Feb-2026,EQ,"323.00","323.55","320.75","322.80","321.25","321.40","321.76","444.20","302.00","1,14,89,090","3,69,67,75,555.25","1,46,227"
